PERMANENT_NAME,DISPLAY_NAME,MAIN_PIC_ID,CITY,STATE,COUNTRY_CODE,MEMBER_SINCE,PERSONAL_URL,OCCUPATION,LOAN_BECAUSE,OTHER_INFO,LOAN_PURCHASE_NUM,INVITED_BY,NUM_INVITED
virginia2858,Virginia,,,,,1587149840,,,,,1,,0
michelle1425,michelle,,,,,1587145217,,,,,1,Eliza,0
matthew45566929,Matthew,,,,,1587139932,,,,,1,,0
sharon5321,Sharon,,,,,1587144941,,,,,1,Eliza,0
chooyon4359,Chooyon,,,,,1587324960,,,,,1,,0
richard4354,Richard,,,,,1587428711,,,,,1,,0
chrstina8211,Chrstina,,,,,1587428055,,,,,1,,0
wolfram6089,Wolfram,,,,,1587463384,,,,,1,,0
sonia87345073,Sonia,,,,,1587241313,,,,,1,,0
molly4398,Molly,,,,,1587361136,,,,,1,,0
jodi8618,Jodi,,,,,1587405442,,,,,1,,0
kaja6967,Kaja,,,,,1587246270,,,,,2,,0
theo9460,Theo,,,,,1587303737,,,,,1,,0
david21903519,David,,,,,1587267634,,,,,1,,0
mary4479,Mary,,,,,1587296651,,,,,1,,0
nikole5195,nikole,,,,,1587479971,,,,,1,,0
hilary9172,Hilary,,,,,1587415080,,,,,1,,0
anna84268959,Anna,,,,,1587595945,,,,,2,,0
nicolas8693,Nicolas,,,,,1587638628,,,,,1,,0
stephanie7165,Stephanie,,,,,1587673534,,,,,1,,0
michael86874040,Michael,,,,,1587770801,,,,,1,,0
saurabh8754,Saurabh,,,,,1587820478,,,,,1,,0
mara3041,Mara,,,,,1587849702,,,,,1,,0
jennifer66549731,Jennifer,,,,,1587618735,,,,,2,,0
david49828999,David,,,,,1587674500,,,,,1,,0
maryjo3481,Mary Jo,,,,,1587673284,,,,,1,,0
matthew69794409,Matthew,,,,,1587763898,,,,,1,,0
mark84456290,Mark,,,,,1587763200,,,,,1,,0
kayleigh9965,Kayleigh,,,,,1587763022,,,,,1,,0
danita7674,Danita,,,,,1587763495,,,,,1,,0
kate3376,Kate,,,,,1587769479,,,,,1,,0
james2598,James,,,,,1587773738,,,,,1,,0
anissa5590,Anissa,,,,,1587774025,,,,,1,,0
johnny7735,johnny,,,,,1587774441,,,,,1,,0
lynda3351,Lynda,,,,,1587780138,,,,,1,,0
misty4373,Misty,,,,,1587780085,,,,,1,,0
